"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","initial.conc","dilution.H2O","dilution.sample","final.conc","plate.order"
"19A0074","1",3,2020-06-29,20,TRUE,1308.835,16,4,261.767,185
"19A0055","1",3,2020-06-29,21,TRUE,1089.555,16,4,217.911,174
"19A0302","1",3,2020-06-29,22,TRUE,730.057,14,6,219.0171,136
"19A0033","1",3,2020-06-29,23,TRUE,1124.681,16,4,224.9362,256
"19A0175","1",3,2020-06-29,24,TRUE,766.551,14,6,229.9653,324
"19A0332","1",3,2020-06-30,2,TRUE,863.416,15,5,215.854,333
"19A0417","1",3,2020-06-30,3,TRUE,661.731,13,7,231.60585,435
"19A0143","1",4,2020-06-30,4,TRUE,661.451,13,7,231.50785,239
"19A0016","1",4,2020-06-30,5,TRUE,490.56,11,9,220.752,314
"19A0458","1",4,2020-06-30,6,TRUE,660.044,13,7,231.0154,57
"19A0347","1",4,2020-06-30,7,TRUE,815.796,15,5,203.949,322
"19A0267","1",4,2020-06-30,8,TRUE,504.649,12,8,201.8596,115
"19A0021","1",4,2020-06-30,9,TRUE,1571.903,17,3,235.78545,263
"19A0067","1",4,2020-06-30,10,TRUE,1020.803,16,4,204.1606,308
"19A0314","1",4,2020-06-30,11,TRUE,728.083,14,6,218.4249,343
"19A0207","1",4,2020-06-30,12,TRUE,565.28,12,8,226.112,35
"19A0066","1",4,2020-06-30,13,TRUE,849.977,15,5,212.49425,335
"19A0286","1",4,2020-06-30,14,TRUE,755.34,14,6,226.602,189
"19A0393","1",4,2020-06-30,15,TRUE,764.303,14,6,229.2909,181
"19A0433","1",4,2020-06-30,16,TRUE,1276.614,16,4,255.3228,95
"19A0390","1",4,2020-06-30,18,TRUE,736.352,14,6,220.9056,153
"19A0217","1",4,2020-06-30,19,TRUE,745.938,14,6,223.7814,396
"19A0261","1",4,2020-06-30,20,TRUE,703.267,14,6,210.9801,53
"19A0065","1",4,2020-06-30,21,TRUE,803.185,15,5,200.79625,287
"19A0294","1",4,2020-06-30,22,TRUE,1037.865,16,4,207.573,58
"19A0391","1",4,2020-06-30,23,TRUE,773.544,14,6,232.0632,380
"19A0142","1",4,2020-06-30,24,TRUE,1036.715,16,4,207.343,286
"19A0101","1",4,2020-07-01,2,TRUE,684.774,14,6,205.4322,272
"19A0028","1",4,2020-07-01,3,TRUE,517.3,12,8,206.92,208
"19A0313","1",4,2020-07-01,4,TRUE,694.66,14,6,208.398,176
"19A0453","1",4,2020-07-01,5,TRUE,610.436,13,7,213.6526,295
"19A0004","1",4,2020-07-01,6,TRUE,1111.297,16,4,222.2594,393
"19A0137","1",4,2020-07-01,7,TRUE,1049.807,16,4,209.9614,355
"19A0012","2",4,2020-07-01,8,TRUE,883.182,15,5,220.7955,188
"19A0451","1",4,2020-07-01,9,TRUE,973.549,15,5,243.38725,424
"19A0224","1",4,2020-07-01,10,TRUE,884.302,15,5,221.0755,33
"19A0187","1",4,2020-07-01,11,TRUE,332.321,7,13,216.00865,371
"19A0386","1",4,2020-07-01,12,TRUE,537.023,12,8,214.8092,304
"19A0086","1",4,2020-07-01,13,TRUE,467.635,11,9,210.43575,93
"19A0214","1",4,2020-07-01,14,TRUE,800.337,15,5,200.08425,397
"19A0020","1",4,2020-07-01,15,TRUE,1105.079,16,4,221.0158,122
"19A0299","1",4,2020-07-01,16,TRUE,794.05,14,6,238.215,169
"19A0236","1",4,2020-07-01,17,TRUE,921.776,15,5,230.444,45
"19A0454","1",4,2020-07-01,18,TRUE,934.796,15,5,233.699,182
"19A0112","1",4,2020-07-01,19,TRUE,769.632,14,6,230.8896,32
"19A0091","1",4,2020-07-01,20,TRUE,1023.653,16,4,204.7306,141
