"Sample.Name","done_box_number","Tube_number","Plate.Name","Well","dilution.H2O","dilution.sample"
"19A0393",4,15,"SC_RNA_02","E12",14,6
"19A0333",6,23,"SC_RNA_02","F01",7,13
"19A0365",7,10,"SC_RNA_02","F02",0,20
"19A0296",2,4,"SC_RNA_02","F03",13,7
"19A0113",1,7,"SC_RNA_02","F04",18,2
"19A0229",2,17,"SC_RNA_02","F05",16,4
"19A0376",4,9,"SC_RNA_02","F06",9,11
"19A0147",5,1,"SC_RNA_02","F07",15,5
"19A0390",4,18,"SC_RNA_02","F08",14,6
"19A0015",3,7,"SC_RNA_02","F09",12,8
"19A0456",2,14,"SC_RNA_02","F10",15,5
"19A0055",3,21,"SC_RNA_02","F11",16,4
"19A0454",4,18,"SC_RNA_02","F12",15,5
"19A0312",6,12,"SC_RNA_02","G01",6,14
"19A0439",1,7,"SC_RNA_02","G02",17,3
"19A0395",5,7,"SC_RNA_02","G03",15,5
"19A0020",4,15,"SC_RNA_02","G04",16,4
"19A0153",2,12,"SC_RNA_02","G05",16,4
"19A0072",7,5,"SC_RNA_02","G06",6,14
"19A0249",6,21,"SC_RNA_02","G07",13,7
"BLANK",NA,NA,"SC_RNA_02","G08",NA,NA
"19A0009",3,20,"SC_RNA_02","G09",7,13
"19A0299",4,16,"SC_RNA_02","G10",14,6
"19A0418",5,21,"SC_RNA_02","G11",14,6
"19A0421",3,20,"SC_RNA_02","G12",16,4
"19A0438",1,17,"SC_RNA_02","H01",17,3
"19A0367",5,2,"SC_RNA_02","H02",14,6
"19A0267",4,8,"SC_RNA_02","H03",12,8
"19A0131",1,11,"SC_RNA_02","H04",18,2
"19A0126",6,13,"SC_RNA_02","H05",17,3
"19A0018",5,17,"SC_RNA_02","H06",16,4
"19A0348",6,4,"SC_RNA_02","H07",9,11
"19A0090",3,14,"SC_RNA_02","H08",16,4
"19A0387",4,18,"SC_RNA_02","H09",12,8
"19A0169",6,7,"SC_RNA_02","H10",11,9
"19A0313",4,4,"SC_RNA_02","H11",14,6
"19A0176",3,9,"SC_RNA_02","H12",10,10
"19A0074",3,20,"SC_RNA_03","A01",16,4
"19A0253",5,22,"SC_RNA_03","A02",12,8
"19A0161",5,13,"SC_RNA_03","A03",8,12
"19A0397",1,7,"SC_RNA_03","A04",15,5
"19A0404",1,18,"SC_RNA_03","A05",17,3
"19A0023",5,24,"SC_RNA_03","A06",15,5
"19A0221",6,1,"SC_RNA_03","A07",16,4
"19A0415",6,8,"SC_RNA_03","A08",12,8
"19A0426",6,15,"SC_RNA_03","A09",11,9
"19A0381",1,17,"SC_RNA_03","A10",14,6
"19A0106",6,22,"SC_RNA_03","A11",13,7
"19A0336",6,4,"SC_RNA_03","A12",15,5
"19A0077",7,11,"SC_RNA_03","B01",11,9
"19A0427",5,10,"SC_RNA_03","B02",15,5
"19A0389",5,7,"SC_RNA_03","B03",11,9
"19A0274",7,17,"SC_RNA_03","B04",10,10
"19A0226",4,12,"SC_RNA_03","B05",17,3
"19A0025",6,23,"SC_RNA_03","B06",13,7
"19A0089",4,6,"SC_RNA_03","B07",17,3
"19A0056",3,17,"SC_RNA_03","B08",16,4
"19A0044",6,5,"SC_RNA_03","B09",15,5
"19A0293",6,1,"SC_RNA_03","B10",16,4
"19A0021",4,9,"SC_RNA_03","B11",17,3
"19A0111",1,20,"SC_RNA_03","B12",18,2
"19A0160",2,16,"SC_RNA_03","C01",16,4
"19A0046",3,10,"SC_RNA_03","C02",15,5
"19A0361",5,15,"SC_RNA_03","C03",13,7
"19A0102",3,12,"SC_RNA_03","C04",9,11
"19A0062",1,15,"SC_RNA_03","C05",17,3
"19A0434",5,13,"SC_RNA_03","C06",14,6
"19A0374",2,12,"SC_RNA_03","C07",15,5
"Pos_Control",NA,NA,"SC_RNA_03","C08",NA,NA
"19A0216",5,9,"SC_RNA_03","C09",11,9
"19A0033",3,23,"SC_RNA_03","C10",16,4
"19A0124",5,6,"SC_RNA_03","C11",14,6
"19A0005",6,15,"SC_RNA_03","C12",17,3
"19A0012",4,8,"SC_RNA_03","D01",15,5
"19A0006",2,19,"SC_RNA_03","D02",15,5
"19A0031",1,9,"SC_RNA_03","D03",17,3
"19A0027",4,5,"SC_RNA_03","D04",17,3
"19A0183",3,10,"SC_RNA_03","D05",10,10
"19A0443",5,3,"SC_RNA_03","D06",15,5
"19A0272",2,20,"SC_RNA_03","D07",16,4
"BLANK",NA,NA,"SC_RNA_03","D08",NA,NA
"19A0047",2,9,"SC_RNA_03","D09",11,9
"19A0441",2,22,"SC_RNA_03","D10",15,5
"19A0013",3,9,"SC_RNA_03","D11",16,4
"19A0101",4,2,"SC_RNA_03","D12",14,6
"19A0286",4,14,"SC_RNA_03","E01",14,6
"19A0196",5,3,"SC_RNA_03","E02",10,10
"19A0184",7,16,"SC_RNA_03","E03",11,9
