"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","plate.order"
"19A0181","2",7,2020-07-20,12,TRUE,319
"19A0271","2",7,2020-07-20,13,TRUE,81
"19A0362","2",7,2020-07-20,14,TRUE,384
"19A0184","2",7,2020-07-20,16,TRUE,205
"19A0281","2",7,2020-07-20,17,TRUE,342
"19A0459","2",7,2020-07-20,18,TRUE,422
"19A0053","2",7,2020-07-20,19,TRUE,126
"19A0076","2",7,2020-07-20,20,TRUE,164
"19A0369","2",7,2020-07-20,21,TRUE,8
"19A0194","2",7,2020-07-20,22,TRUE,61
"19A0158","2",7,2020-07-20,23,TRUE,344
"19A0457","2",7,2020-07-20,24,TRUE,72
"19A0297","2",7,2020-07-21,1,TRUE,259
"19A0239","2",7,2020-07-21,2,TRUE,366
"19A0119","2",7,2020-07-21,3,TRUE,291
"19A0233","2",7,2020-07-21,4,TRUE,363
"19A0072","2",7,2020-07-21,5,TRUE,138
"19A0257","2",7,2020-07-21,6,FALSE,252
"19A0322","2",7,2020-07-21,7,TRUE,386
"19A0273","2",7,2020-07-21,8,TRUE,102
"19A0197","2",7,2020-07-21,9,TRUE,385
"19A0295","2",7,2020-07-21,10,TRUE,158
"19A0310","2",7,2020-07-21,11,TRUE,238
"19A0383","2",7,2020-07-21,12,TRUE,390
"19A0413","2",7,2020-07-21,13,TRUE,351
"19A0392","2",7,2020-07-21,14,TRUE,128
"19A0304","2",7,2020-07-21,15,TRUE,274
"19A0114","2",7,2020-07-21,16,TRUE,251
"19A0274","2",7,2020-07-21,17,TRUE,210
"19A0363","2",7,2020-07-21,18,TRUE,431
"19A0432","2",7,2020-07-21,19,TRUE,337
"19A0107","2",7,2020-07-21,20,TRUE,231
"19A0287","2",7,2020-07-21,21,TRUE,127
"19A0350","2",7,2020-07-21,22,TRUE,206
"19A0095","2",7,2020-07-21,23,TRUE,353
"19A0177","2",7,2020-07-21,24,TRUE,368
