Year	Plot	Geno	Rep	Superblock	Block	Row	Col	Check	new	C	Anthesis	Silking	Planting	da	ds	a_s	GDD_a	GDD_s
2015	15A0096	Check1	1	1	5	48	13	1	0	Check	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0097	Wh96011	1	1	5	49	14	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0098	Wuh09149i	1	1	5	49	13	99	1	Panel	7/31/15	8/2/15	5/29/15	63	65	-2	1760	1801
2015	15A0099	We05401	1	1	5	50	14	99	1	Panel	7/27/15	7/28/15	5/29/15	59	60	-1	1661	1686
2015	15A0100	Wh10140R	1	1	5	50	13	99	1	Panel	7/29/15	7/30/15	5/29/15	61	62	-1	1711	1737
2015	15A0101	Me123	1	1	5	51	14	99	1	Panel	7/27/15	7/28/15	5/29/15	59	60	-1	1661	1686
2015	15A0102	I817	1	1	5	51	13	99	1	Panel	8/1/15	8/2/15	5/29/15	64	65	-1	1780	1801
2015	15A0103	FILL	1	1	5	52	14	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0104	Wuh07413i	1	1	5	52	13	99	1	Panel	8/2/15	8/11/15	5/29/15	65	74	-9	1801	1963
2015	15A0105	Wh04036V	1	1	5	53	14	99	1	Panel	8/3/15	8/2/15	5/29/15	66	65	1	1824	1801
2015	15A0106	We09402	1	1	5	53	13	99	1	Panel	7/28/15	7/29/15	5/29/15	60	61	-1	1686	1711
2015	15A0107	Wh09009	1	1	5	54	14	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0108	FILL	1	1	5	54	13	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0109	We05407	1	1	5	55	14	99	1	Panel	7/25/15	7/25/15	5/29/15	57	57	0	1614	1614
2015	15A0110	Wh03031	1	1	5	55	13	99	1	Panel	7/29/15	8/2/15	5/29/15	61	65	-4	1711	1801
2015	15A0111	A632	1	2	1	56	14	99	1	Panel	8/12/15	8/13/15	5/29/15	75	76	-1	1979	1994
2015	15A0112	MDM-9	1	2	1	56	13	99	1	Panel	8/8/15	8/3/15	5/29/15	71	66	5	1902	1824
2015	15A0113	P39M96	1	2	1	57	14	99	1	Panel	8/7/15	8/7/15	5/29/15	70	70	0	1889	1889
2015	15A0114	P14	1	2	1	57	13	99	1	Panel	8/1/15	8/5/15	5/29/15	64	68	-4	1780	1859
2015	15A0115	Wuh07177i	1	2	1	58	14	99	1	Panel	7/31/15	7/29/15	5/29/15	63	61	2	1760	1711
2015	15A0116	Ia45-3	1	2	1	58	13	99	1	Panel	8/3/15	8/3/15	5/29/15	66	66	0	1824	1824
2015	15A0117	Wuh09174i	1	2	1	59	14	99	1	Panel	7/29/15	7/30/15	5/29/15	61	62	-1	1711	1737
2015	15A0118	Wh98063	1	2	1	59	13	99	1	Panel	7/28/15	7/29/15	5/29/15	60	61	-1	1686	1711
2015	15A0119	257A9	1	2	1	60	14	99	1	Panel	8/4/15	8/4/15	5/29/15	67	67	0	1842	1842
2015	15A0120	IL696a	1	2	1	60	13	99	1	Panel	8/4/15	8/6/15	5/29/15	67	69	-2	1842	1874
2015	15A0121	Wh09087	1	2	1	61	14	99	1	Panel	8/3/15	8/2/15	5/29/15	66	65	1	1824	1801
2015	15A0122	C22	1	2	1	61	13	99	1	Panel	7/30/15	7/30/15	5/29/15	62	62	0	1737	1737
2015	15A0123	FILL	1	2	1	62	14	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0124	Wh10110R	1	2	1	62	13	99	1	Panel	7/31/15	7/31/15	5/29/15	63	63	0	1760	1760
2015	15A0125	Check2	1	2	1	63	14	2	0	Check	8/4/15	8/5/15	5/29/15	67	68	-1	1842	1859
2015	15A0126	C6A	1	2	1	63	13	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0127	C40	1	2	1	64	14	99	1	Panel	8/11/15	8/11/15	5/29/15	74	74	0	1963	1963
2015	15A0128	IL124a	1	2	1	64	13	99	1	Panel	8/3/15	8/6/15	5/29/15	66	69	-3	1824	1874
2015	15A0129	IL707a	1	2	1	65	14	99	1	Panel	8/9/15	8/9/15	5/29/15	72	72	0	1920	1920
2015	15A0130	471-U6	1	2	1	65	13	99	1	Panel	8/9/15	8/9/15	5/29/15	72	72	0	1920	1920
2015	15A0131	Wh07061a	1	2	1	66	14	99	1	Panel	8/10/15	8/10/15	5/29/15	73	73	0	1942	1942
2015	15A0132	Check3	1	2	1	66	13	3	0	Check	8/2/15	8/4/15	5/29/15	65	67	-2	1801	1842
2015	15A0133	IL354a	1	2	2	66	12	99	1	Panel	8/3/15	8/3/15	5/29/15	66	66	0	1824	1824
2015	15A0134	Wh92054	1	2	2	66	11	99	1	Panel	8/6/15	8/3/15	5/29/15	69	66	3	1874	1824
2015	15A0135	Ia45-1	1	2	2	65	12	99	1	Panel	8/4/15	8/3/15	5/29/15	67	66	1	1842	1824
2015	15A0136	I45	1	2	2	65	11	99	1	Panel	8/1/15	8/2/15	5/29/15	64	65	-1	1780	1801
2015	15A0137	Ia5125	1	2	2	64	12	99	1	Panel	8/3/15	8/4/15	5/29/15	66	67	-1	1824	1842
2015	15A0138	P51	1	2	2	64	11	99	1	Panel	8/2/15	8/2/15	5/29/15	65	65	0	1801	1801
2015	15A0139	Check3	1	2	2	63	12	3	0	Check	8/3/15	8/3/15	5/29/15	66	66	0	1824	1824
2015	15A0140	SD176	1	2	2	63	11	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0141	NJ159	1	2	2	62	12	99	1	Panel	7/29/15	7/29/15	5/29/15	61	61	0	1711	1711
2015	15A0142	If825	1	2	2	62	11	99	1	Panel	8/8/15	8/6/15	5/29/15	71	69	2	1902	1874
2015	15A0143	Check2	1	2	2	61	12	2	0	Check	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
