Row ID,Germplasm,Number of Pollinations,First Harvest GDD,Second Harvest GDD
14A0431,IL395a,7,420.3,420.3
14A0432,MDM-5,5,404.8,404.8
14A0433,IL729a,4,442.3,442.3
14A0434,MDM-15,5,424.8,424.8
14A0435,IL557a,12,425.3,425.3
14A0436,MDM-20,5,424.8,424.8
14A0437,Check3,6,425.3,425.3
14A0438,IL14H,6,418.3,418.3
14A0439,IL393a,6,415.3,415.3
14A0440,B73,5,470.3,470.3
14A0441,W5552,2,412.3,412.3
14A0442,C3,5,423.2,423.2
14A0443,Me244-wb,5,400.75,400.75
14A0444,Check1,5,400,400
14A0445,W3742,4,420.6,420.6
14A0446,Wu04819,5,400.75,400.75
14A0447,W6728,10,425.3,425.3
14A0448,Check2,2,404.25,392
14A0449,C18,3,392.35,392.35
14A0450,Sweet Buns,5,400,400
14A0451,Vineland576,2,420.6,420.6
14A0452,W7151,6,392.35,392.35
14A0453,LUTHER HILL,1,465.25,
14A0454,IL747b,5,400.75,400.75
14A0455,W6714,5,418.3,418.3
14A0456,Wu04806,5,392.35,392.35
14A0457,IP39,5,428.3,428.3
14A0458,C22,7,400.75,400.75
14A0459,SD909,4,392.15,392.15
14A0460,Wisconsin_se_tester_sese,5,392,392
14A0461,We08417a,6,400.75,400.75
14A0462,W5579,6,425.3,425.3
14A0463,C5-NT,7,400,400
14A0464,V781,3,409.6,409.6
14A0465,Me121-wb,5,425.3,425.3
14A0466,Check2,8,471.7,471.7
14A0467,Ia2076,5,388.05,388.05
14A0468,We09425,6,388.05,388.05
14A0469,We03418a,6,400.75,400.75
14A0470,W6366,5,400.75,400.75
14A0471,We02404,10,404.25,404.25
14A0472,Check1,0,,
14A0473,R839,5,424.8,424.8
14A0474,W3647,2,418.3,418.3
14A0475,Me100,5,404.25,404.25
14A0476,C12-1,4,392.35,392.35
14A0477,W6757,6,425.3,425.3
14A0478,We09402,5,392.35,392.35
14A0479,Me2rt,5,388.05,388.05
14A0480,VIA5492,11,404.25,404.25
14A0481,W6786,6,465.8,465.8
14A0482,C6A,6,392.35,392.35
14A0483,R825,4,412.3,412.3
14A0484,C38,5,392.15,392.15
14A0485,IL689a,6,400.75,400.75
14A0486,R851,6,425.3,425.3
14A0487,We01407,6,428.45,428.45
14A0488,Me2,4,418.3,418.3
14A0489,C30,5,400.75,400.75
14A0490,We02412,0,,
14A0491,OLCOTT,3,388.05,388.05
14A0492,P51B,4,425.3,425.3
14A0493,W64A,6,418.3,418.3
14A0494,G8,6,392.35,392.35
14A0495,C2,7,423.2,423.2
14A0496,W6462,8,412.3,412.3
14A0497,We05408,6,392,392
14A0498,We02406,0,,
14A0499,M23,6,388.05,388.05
14A0500,We08414a,6,400.75,400.75
14A0501,We05411,5,392.15,392.15
14A0502,We05407,8,404.25,404.25
14A0503,Me1,6,369.75,369.75
14A0504,We10401,6,415.3,415.3
14A0505,Check1,5,400,400
14A0506,Check2,6,406.65,406.65
14A0507,C13,7,586.8,586.8
14A0508,Check1,12,404.25,404.25
14A0509,Wu04401,7,392.15,392.15
14A0510,R853,5,424.8,424.8
14A0511,Me123,5,392.15,392.15
14A0512,We09413,5,400.75,400.75
14A0513,W6720-1,6,425.3,425.3
14A0514,Check2,13,436.65,436.65
14A0515,81-1,4,,
14A0516,C81,6,442.3,442.3
14A0517,We06410,7,392,392
14A0518,C4,5,425.3,425.3
14A0519,34f,6,425.3,425.3
14A0520,ND1,6,392.35,392.35
14A0521,We08408,7,403.35,403.35
14A0522,F7,5,392.15,392.15
14A0523,Me135,5,392.15,392.15
14A0524,IL671a,6,444.45,444.45
14A0525,W85,6,392,392
14A0526,We05410,5,400,400
14A0527,We05401,5,431.95,431.95
14A0528,W5543,5,400.75,400.75
14A0529,Sweet Buns,4,No Harvest Date Recorded,No Harvest Date Recorded
14A0530,IL615a,5,425.3,425.3
14A0531,Sweet Buns,5,400,400
14A0532,Ma401,5,435.8,435.8
14A0533,Check2,7,406.65,406.65
14A0534,Wh93016,5,424.8,424.8
14A0535,Check3,6,465.8,465.8
14A0536,C5,7,409.5,409.5
14A0537,Wh05051,6,412.3,412.3
14A0538,SD469,5,388.05,388.05
14A0539,Ia4189,4,481.3,481.3
14A0540,Wh10163,7,442.3,442.3
14A0541,Ia2256,8,412.3,412.3
14A0542,Il101t,5,407.3,407.3
14A0543,IL707a,5,418.3,418.3
14A0544,P39Le-253:60,6,428.45,428.45
14A0545,CI540,7,452.8,452.8
14A0546,F2,5,444.35,400.75
14A0547,IL325a,6,418.3,418.3
14A0548,P39Goodman-Buckler,2,428.3,428.3
14A0549,P39M94,6,429.3,429.3
14A0550,IL13B,2,423.5,
14A0551,A685,5,418.3,418.3
14A0552,Wh07013,6,400.75,400.75
14A0553,IL678a,6,420.3,420.3
14A0554,Wu99823,5,412.3,412.3
14A0555,Sweet Buns,6,404.25,404.25
14A0556,A15,6,388.05,388.05
14A0557,SD245,4,432.5,432.5
14A0558,Wh92054,5,407.3,407.3
14A0559,C7,5,400.75,400.75
14A0560,Check3,5,407.3,407.3
14A0561,Check2,7,409.5,409.5
14A0562,IL733a,8,412.3,412.3
14A0563,C68,12,407.3,407.3
14A0564,Wuh09191i,4,428.45,428.45
14A0565,Wh10802R,6,461.45,461.45
14A0566,Wh98044,4,412.3,412.3
14A0567,IL18b,6,404.8,404.8
14A0568,Wh10231V,10,420.6,420.6
14A0569,Wu00801,4,401.8,401.8
14A0570,P39(New),5,428.45,428.45
14A0571,IL21f,5,407.3,407.3
14A0572,IL430a,5,407.3,407.3
14A0573,Wuh07413i,6,407.3,407.3
14A0574,Wh10216V,7,420.6,420.6
14A0575,Wh98063,5,392.15,392.15
14A0576,Wh08042,5,420.6,420.6
14A0577,SD908,5,400.75,400.75
